,raw_hz,peak_id,line_width,integral,file_path,raw_Al_concentration,raw_Li_concentration,raw_Na_concentration,degrees_celsius,Hz,Mat_Source,raw_mg,scan_count,nmr_element
76,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ctF.ft,0.15,,3.0,80,2720,,,32,23Na
77,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ctF.ft,0.15,,3.0,80,2720,,,32,23Na
78,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ctF.ft,0.15,,3.0,80,2720,,,32,23Na
79,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ctF.ft,0.15,,3.0,80,2720,,,32,23Na
80,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ct.ft,0.15,,3.0,70,2732,,,32,23Na
81,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ct.ft,0.15,,3.0,70,2732,,,32,23Na
82,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ct.ft,0.15,,3.0,70,2732,,,32,23Na
83,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ct.ft,0.15,,3.0,70,2732,,,32,23Na
84,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ct.ft,0.15,,3.0,70,2732,,,32,23Na
85,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ctF.ft,0.15,,3.0,70,2732,,,32,23Na
86,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ctF.ft,0.15,,3.0,70,2732,,,32,23Na
87,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ctF.ft,0.15,,3.0,70,2732,,,32,23Na
88,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ctF.ft,0.15,,3.0,70,2732,,,32,23Na
89,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ctF.ft,0.15,,3.0,70,2732,,,32,23Na
90,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ct.ft,0.15,,3.0,60,2742,,,32,23Na
91,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ct.ft,0.15,,3.0,60,2742,,,32,23Na
92,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ct.ft,0.15,,3.0,60,2742,,,32,23Na
93,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ct.ft,0.15,,3.0,60,2742,,,32,23Na
94,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ct.ft,0.15,,3.0,60,2742,,,32,23Na
